; saxpy-mono 1048576 1073741824, Thu Mar 15 08:09:29 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 16384, 1260, 16384, 64, 5, 0.098496 ms, 127.75 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 8192, 630, 8192, 128, 5, 0.084576 ms, 148.776 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 4096, 315, 4096, 256, 5, 0.084096 ms, 149.626 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 2048, 157, 2048, 512, 5, 0.0864 ms, 145.636 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 1048576, 13, 1024, 78, 1024, 1024, 5, 0.088288 ms, 142.521 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 32768, 2520, 32768, 64, 5, 0.1872 ms, 134.433 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 16384, 1260, 16384, 128, 5, 0.158272 ms, 159.004 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 8192, 630, 8192, 256, 5, 0.160192 ms, 157.098 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 4096, 315, 4096, 512, 5, 0.160288 ms, 157.004 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 2097152, 13, 2048, 157, 2048, 1024, 5, 0.16384 ms, 153.6 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 65536, 5041, 65536, 64, 5, 0.3592 ms, 140.122 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 32768, 2520, 32768, 128, 5, 0.304 ms, 165.565 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 16384, 1260, 16384, 256, 5, 0.307296 ms, 163.789 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 8192, 630, 8192, 512, 5, 0.312256 ms, 161.187 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 4194304, 13, 4096, 315, 4096, 1024, 5, 0.314624 ms, 159.974 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 131072, 10082, 131072, 64, 5, 0.712992 ms, 141.184 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 65536, 5041, 65536, 128, 5, 0.604928 ms, 166.405 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 32768, 2520, 32768, 256, 5, 0.608224 ms, 165.504 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 16384, 1260, 16384, 512, 5, 0.617856 ms, 162.924 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 8388608, 13, 8192, 630, 8192, 1024, 5, 0.622784 ms, 161.634 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 262144, 20164, 262144, 64, 5, 1.41165 ms, 142.618 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 131072, 10082, 131072, 128, 5, 1.18931 ms, 169.28 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 65536, 5041, 65536, 256, 5, 1.20285 ms, 167.375 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 32768, 2520, 32768, 512, 5, 1.22109 ms, 164.875 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 16777216, 13, 16384, 1260, 16384, 1024, 5, 1.23645 ms, 162.827 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 33554432, 13, 524288, 40329, 524288, 64, 5, 2.81453 ms, 143.062 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 33554432, 13, 262144, 20164, 262144, 128, 5, 2.37075 ms, 169.842 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 33554432, 13, 131072, 10082, 131072, 256, 5, 2.39472 ms, 168.142 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 33554432, 13, 65536, 5041, 65536, 512, 5, 2.42694 ms, 165.91 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 33554432, 13, 32768, 2520, 32768, 1024, 5, 2.45552 ms, 163.979 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 67108864, 13, 1048576, 80659, 1048576, 64, 5, 5.59498 ms, 143.934 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 67108864, 13, 524288, 40329, 524288, 128, 5, 4.7249 ms, 170.439 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 67108864, 13, 262144, 20164, 262144, 256, 5, 4.76419 ms, 169.033 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 67108864, 13, 131072, 10082, 131072, 512, 5, 4.83341 ms, 166.613 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 67108864, 13, 65536, 5041, 65536, 1024, 5, 4.88544 ms, 164.838 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 134217728, 13, 2097152, 161319, 2097152, 64, 5, 11.2403 ms, 143.289 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 134217728, 13, 1048576, 80659, 1048576, 128, 5, 9.41283 ms, 171.108 GB/s
   0, 0, Tesla K80, 3.7, 2505, 823, 134217728, 13, 524288, 40329, 524288, 256, 5, 9.49472 ms, 