; reduction-mono 1048576 1073741824, Thu Aug 23 17:12:23 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 8192, 102, 8192, 64, 5, 0.034144 ms, 122.842 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 4096, 51, 4096, 128, 5, 0.033696 ms, 124.475 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 2048, 25, 2048, 256, 5, 0.026336 ms, 159.261 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 1024, 12, 1024, 512, 5, 0.02768 ms, 151.528 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1048576, 80, 512, 6, 512, 1024, 5, 0.029888 ms, 140.334 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 2097152, 80, 16384, 204, 16384, 64, 5, 0.047552 ms, 176.409 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 2097152, 80, 8192, 102, 8192, 128, 5, 0.033696 ms, 248.95 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 2097152, 80, 4096, 51, 4096, 256, 5, 0.033344 ms, 251.578 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 2097152, 80, 2048, 25, 2048, 512, 5, 0.03344 ms, 250.855 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 2097152, 80, 1024, 12, 1024, 1024, 5, 0.04608 ms, 182.044 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 4194304, 80, 32768, 409, 32768, 64, 5, 0.081152 ms, 206.738 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 4194304, 80, 16384, 204, 16384, 128, 5, 0.051808 ms, 323.834 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 4194304, 80, 8192, 102, 8192, 256, 5, 0.049856 ms, 336.513 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 4194304, 80, 4096, 51, 4096, 512, 5, 0.052 ms, 322.639 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 4194304, 80, 2048, 25, 2048, 1024, 5, 0.059424 ms, 282.331 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 8388608, 80, 65536, 819, 65536, 64, 5, 0.132064 ms, 254.077 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 8388608, 80, 32768, 409, 32768, 128, 5, 0.076512 ms, 438.551 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 8388608, 80, 16384, 204, 16384, 256, 5, 0.072032 ms, 465.827 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 8388608, 80, 8192, 102, 8192, 512, 5, 0.077632 ms, 432.224 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 8388608, 80, 4096, 51, 4096, 1024, 5, 0.0912 ms, 367.921 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 16777216, 80, 131072, 1638, 131072, 64, 5, 0.242784 ms, 276.414 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 16777216, 80, 65536, 819, 65536, 128, 5, 0.13136 ms, 510.878 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 16777216, 80, 32768, 409, 32768, 256, 5, 0.121344 ms, 553.046 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 16777216, 80, 16384, 204, 16384, 512, 5, 0.134048 ms, 500.633 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 16777216, 80, 8192, 102, 8192, 1024, 5, 0.159488 ms, 420.777 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 33554432, 80, 262144, 3276, 262144, 64, 5, 0.465184 ms, 288.526 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 33554432, 80, 131072, 1638, 131072, 128, 5, 0.241408 ms, 555.979 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 33554432, 80, 65536, 819, 65536, 256, 5, 0.220992 ms, 607.342 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 33554432, 80, 32768, 409, 32768, 512, 5, 0.244928 ms, 547.988 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 33554432, 80, 16384, 204, 16384, 1024, 5, 0.294144 ms, 456.299 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 67108864, 80, 524288, 6553, 524288, 64, 5, 0.9104 ms, 294.854 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 67108864, 80, 262144, 3276, 262144, 128, 5, 0.464416 ms, 578.006 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 67108864, 80, 131072, 1638, 131072, 256, 5, 0.424512 ms, 632.339 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 67108864, 80, 65536, 819, 65536, 512, 5, 0.478592 ms, 560.886 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 67108864, 80, 32768, 409, 32768, 1024, 5, 0.572832 ms, 468.611 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 134217728, 80, 1048576, 13107, 1048576, 64, 5, 1.79946 ms, 298.352 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 134217728, 80, 524288, 6553, 524288, 128, 5, 0.907872 ms, 591.351 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 134217728, 80, 262144, 3276, 262144, 256, 5, 0.821408 ms, 653.598 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 134217728, 80, 131072, 1638, 131072, 512, 5, 0.924128 ms, 580.949 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 134217728, 80, 65536, 819, 65536, 1024, 5, 1.11485 ms, 481.564 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 268435456, 80, 2097152, 26214, 2097152, 64, 5, 3.58195 ms, 299.764 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 268435456, 80, 1048576, 13107, 1048576, 128, 5, 1.7993 ms, 596.757 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 268435456, 80, 524288, 6553, 524288, 256, 5, 1.62445 ms, 660.989 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 268435456, 80, 262144, 3276, 262144, 512, 5, 1.82346 ms, 588.85 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 268435456, 80, 131072, 1638, 131072, 1024, 5, 2.21354 ms, 485.08 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 536870912, 80, 4194304, 52428, 4194304, 64, 5, 7.14477 ms, 300.567 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 536870912, 80, 2097152, 26214, 2097152, 128, 5, 3.5808 ms, 599.722 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 536870912, 80, 1048576, 13107, 1048576, 256, 5, 3.2719 ms, 656.341 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 536870912, 80, 524288, 6553, 524288, 512, 5, 3.62912 ms, 591.737 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 536870912, 80, 262144, 3276, 262144, 1024, 5, 4.44211 ms, 483.438 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1073741824, 80, 8388608, 104857, 8388608, 64, 5, 14.2716 ms, 300.946 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1073741824, 80, 4194304, 52428, 4194304, 128, 5, 7.14278 ms, 601.302 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1073741824, 80, 2097152, 26214, 2097152, 256, 5, 6.41373 ms, 669.652 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1073741824, 80, 1048576, 13107, 1048576, 512, 5, 7.22304 ms, 594.62 GB/s
   0, 0, Tesla V100-PCIE-16GB, 7.0, 877, 1245, 1073741824, 80, 524288, 6553, 524288, 1024, 5, 8.77133 ms, 489.66 GB/s
